n_words,stem_words,threshold,TOP_N,queries,match,TP,FP,FN,TN,TP_asin,FN_asin,FP_asin,TN_asin,accuracy,Precision,Recall,accuracy_asin,Precision_asin,Recall_asin,F1,F1_asin
4.0,4.0,0.47,5.0,1000,661.0,170.0,491.0,330.0,9.0,0.0,330.0,491.0,9.0,0.18,0.26,0.34,0.01,0.0,0.0,0.29,
4.0,4.0,0.48,5.0,1000,661.0,170.0,491.0,330.0,9.0,0.0,330.0,491.0,9.0,0.18,0.26,0.34,0.01,0.0,0.0,0.29,
4.0,4.0,0.49,5.0,1000,661.0,170.0,491.0,330.0,9.0,0.0,330.0,491.0,9.0,0.18,0.26,0.34,0.01,0.0,0.0,0.29,
4.0,4.0,0.5,5.0,1000,660.0,170.0,490.0,330.0,10.0,0.0,330.0,490.0,10.0,0.18,0.26,0.34,0.01,0.0,0.0,0.29,
4.0,4.0,0.51,5.0,1000,659.0,170.0,489.0,330.0,11.0,0.0,330.0,489.0,11.0,0.18,0.26,0.34,0.01,0.0,0.0,0.29,
4.0,4.0,0.52,5.0,1000,659.0,170.0,489.0,330.0,11.0,0.0,330.0,489.0,11.0,0.18,0.26,0.34,0.01,0.0,0.0,0.29,
4.0,4.0,0.53,5.0,1000,654.0,170.0,484.0,330.0,16.0,0.0,330.0,484.0,16.0,0.19,0.26,0.34,0.02,0.0,0.0,0.29,
4.0,4.0,0.54,5.0,1000,650.0,170.0,480.0,330.0,20.0,0.0,330.0,480.0,20.0,0.19,0.26,0.34,0.02,0.0,0.0,0.29,
4.0,4.0,0.55,5.0,1000,649.0,170.0,479.0,330.0,21.0,0.0,330.0,479.0,21.0,0.19,0.26,0.34,0.02,0.0,0.0,0.29,
4.0,4.0,0.56,5.0,1000,644.0,170.0,474.0,330.0,26.0,0.0,330.0,474.0,26.0,0.2,0.26,0.34,0.03,0.0,0.0,0.29,
